ID,lon,lat,Elev
0011961U3396,-79.69982338,44.74588685,182.2825
0011961U3395,-79.67760008,44.73783139,190.1503
0011961U3383,-79.40481525,44.79505565,214.5602
0011961U3382,-79.3706468,44.76783333,216.5932
0011961U3381,-79.3148108,44.74283372,220.355
0011961U3380,-79.32758923,44.74505572,219.557
0011961U3379,-79.33064494,44.74783343,220.1636
0011961U3378,-79.32981155,44.74283346,218.9249
0011961U3376,-79.28064188,44.7150565,225.2559
0011961U3375,-79.31258839,44.72783397,219.9356
0011961U3374,-79.31481071,44.72588953,219.4639
0011961U3372,-79.34981066,44.67588783,220.8541
0011961U3369,-79.39758846,44.60505487,221.3932
0011961U3368,-79.80482176,44.04005366,235.8324
0011961U3367,-79.79759958,44.07783133,227.9788
0011961U3366,-79.7656533,44.08283219,228.4281
0011961U3365,-79.752597,44.08588844,228.6426
0011961U3364,-79.73259611,44.09283318,220.2202
0011961U3363,-79.7056505,44.09588861,226.6405
0011961U3362,-79.6817607,44.10283293,250.5103
0011961U3361,-79.6625931,44.09505516,244.3083
0011961U3360,-79.62981405,44.10005514,248.1
0011961U3359,-79.61064666,44.1050551,239.0438
0011961U3355,-79.5106422,44.10505595,223.9897
0011961U3351,-79.46064169,44.17783373,223.4225
0011961U3350,-79.46480834,44.19505587,241.3561
0011961U3349,-79.46564172,44.21088918,232.8987
0011961U3348,-79.46480914,44.23005599,220.7649
0011961U3346,-79.36758456,44.3300568,219.6351
0011960UT99,-79.38063426,43.72783495,146.8467
0011960UT97,-79.41063511,43.72089012,172.7428
0011960UT93,-79.45480272,43.71283476,180.1356
0011960UT92,-79.46480299,43.71089022,185.8925
0011960UT88,-79.47980353,43.7128344,168.8531
0011960UT79,-79.4698039,43.78589011,189.0198
0011960UT7,-79.172574,43.83783704,156.4699
0011960UT66,-79.26479672,43.73089124,168.7985
0011960UT64,-79.27479808,43.76783554,162.0073
0011960UT61,-79.18562814,43.77005889,125.4151
0011960UT57,-79.14562643,43.76589255,88.3598
0011960UT56,-79.18062772,43.75783665,119.1874
0011960UT55,-79.20062835,43.75505856,142.9807
0011960UT52,-79.23257207,43.72283498,181.5329
0011960UT5,-79.17979633,43.83005924,131.1201
0011960UT49,-79.26979634,43.69505786,142.7884
0011960UT48,-79.29563056,43.69089116,128.1617
0011960UT43,-79.29757526,43.71283561,143.5267
0011960UT42,-79.30063098,43.72089113,160.3642
0011960UT4,-79.17979626,43.82783702,148.4114
0011960UT39,-79.31063189,43.74505753,167.3231
0011960UT32,-79.21563071,43.82005855,156.9247
0011960UT31,-79.20257497,43.83005891,150.3708
0011960UT28,-79.18562863,43.79589202,133.8459
0011960UT27,-79.195629,43.7958919,145.4481
0011960UT251,-79.40257955,43.74005689,126.6439
0011960UT247,-79.47063726,43.79283451,182.9089
0011960UT243,-79.35480261,43.85089122,184.8871
0011960UT241,-79.46480176,43.6358909,83.2571
0011960UT240,-79.54480388,43.66505609,141.9573
0011960UT236,-79.52758045,43.64283444,122.5284
0011960UT230,-79.48980232,43.66283446,120.6631
0011960UT229,-79.48480331,43.65089004,114.1562
0011960UT228,-79.48063633,43.645057,87.7587
0011960UT223,-79.51758083,43.62005723,106.5825
0011960UT218,-79.49757984,43.61505736,92.6339
0011960UT215,-79.51980395,43.60394641,97.6235
0011960UT214,-79.52563763,43.60089098,96.8927
0011960UT213,-79.54563856,43.58783587,81.8392
0011960UT211,-79.54758248,43.60783558,108.9627
0011960UT206,-79.56063908,43.72783404,144.8629
0011960UT205,-79.55758308,43.72005615,139.4133
0011960UT2,-79.17062861,43.81005905,128.3849
0011960UT196,-79.49980376,43.70283403,126.2695
0011960UT190,-79.53980382,43.67783327,154.7345
0011960UT172,-79.33257646,43.68283531,118.6735
0011960UT170,-79.3175758,43.70005755,122.4589
0011960UT169,-79.30979774,43.70505768,124.4844
0011960UT167,-79.34063217,43.72283532,134.8513
0011960UT164,-79.36563316,43.69505733,125.127
0011960UT163,-79.36257745,43.68283518,79.8663
0011960UT162,-79.36257745,43.67505738,77.4585
0011960UT161,-79.35563266,43.6628352,76.6501
0011960UT159,-79.31063104,43.68089105,120.1037
0011960UT157,-79.32979823,43.65783546,76.461
0011960UT150,-79.43757802,43.63505787,79.0391
0011960UT148,-79.42757788,43.64089113,88.3627
0011960UT146,-79.39480042,43.66783524,114.3368
0011960UT145,-79.39757848,43.67589073,120.3122
0011960UT144,-79.40563429,43.67505738,124.6486
0011960UT14,-79.29563406,43.82589075,198.596
0011960UT139,-79.44980193,43.65589071,109.5438
0011960UT137,-79.48758052,43.68589,124.0569
0011960UT136,-79.475636,43.69005696,126.2615
0011960UT134,-79.44980182,43.69505717,168.9537
0011960UT129,-79.38980097,43.71089025,158.837
0011960UT128,-79.37757829,43.71283491,158.2429
0011960UT126,-79.40480178,43.73283457,168.9757
0011960UT123,-79.41257987,43.78005689,194.0998
0011960UT122,-79.39480189,43.78505727,178.6029
0011960UT121,-79.39257993,43.79589071,165.0872
0011960UT118,-79.44258107,43.77005679,188.9146
0011960UT117,-79.43980326,43.76089013,157.1746
0011960UT115,-79.4325802,43.73589019,182.7046
0011960UT114,-79.47063696,43.72505663,181.0859
0011960UT105,-79.32479887,43.74089087,131.9422
0011960UT104,-79.32979898,43.74005754,117.9668
0011960UT103,-79.34257716,43.7358909,141.6591
0011960UT101,-79.36480026,43.73283511,146.3992
0011960U9511,-79.16980024,44.4708911,221.0458
0011960U9510,-79.16980024,44.4708911,221.0414
0011960U9509,-79.16980024,44.4708911,220.5701
0011960U538,-79.13979917,44.4928354,226.5886
0011960U537,-79.13257667,44.49783536,230.8698
0011960U536,-79.12063175,44.50783535,235.1677
0011960U535,-79.09257492,44.51589122,241.5781
0011960U534,-78.96979259,44.58005814,259.5668
0011960U533,-78.96757029,44.58005813,256.2247
0011960U3199,-79.13979917,44.4928354,226.6118
0011960U3195,-79.12063175,44.50783535,227.4494
0011960U3194,-79.09257492,44.51589122,241.4958
0011960U3191,-79.05479557,44.53089125,252.4617
0011960U3188,-78.98479316,44.57283604,273.0701
0011960U3187,-78.96757029,44.58005813,258.1966
0011960U3186,-78.93756934,44.59283583,256.5779
0011960U3184,-78.93062446,44.58005785,271.3642
0011959U9510,-80.2126177,44.50282796,177.7457
0011959U9509,-80.2126177,44.50282796,177.0367
0011954U717F,-80.2126177,44.50282796,177.3335
0011954U716F,-80.21483992,44.48782808,188.9079
0011954U715F,-80.18761551,44.36505085,411.7787
0011954U714F,-80.21261625,44.36088427,480.1136
0011954U713F,-80.24261709,44.35505101,509.0203
0011954U712F,-80.25067285,44.34588438,495.5611
0011954U708F,-80.39984499,44.31005001,480.074
0011954U615F,-80.42178723,43.5817147,346.8139
0011954U614F,-80.36567381,43.57782588,346.1212
0011954U613F,-80.34067279,43.55588149,341.5749
0011954U610F,-80.24483487,43.54588192,325.288
0011954U609F,-80.23066799,43.55588209,323.6825
0011954U608F,-80.19761145,43.57504908,331.6317
0011954U606F,-80.14260945,43.62504934,359.1537
0011954U605F,-80.14066492,43.62504934,359.1444
0011954U603F,-80.04066051,43.63505161,350.3781
0011954U602F,-80.01260343,43.6278301,326.9892
0011954U601F,-79.97982382,43.63588672,307.3481
0011954U600F,-79.96482323,43.64283176,292.3202
0011954U598F,-79.91982107,43.65588811,258.3351
0011954U594F,-79.81759317,43.67783442,246.8845
0011954U591F,-79.75481318,43.69005716,214.1181
0011954U589F,-79.64480925,43.70505695,169.4762
0011954U583F,-79.46480244,43.66505718,118.0078
0011954U581F,-79.4256332,43.63005791,78.882
0011954U009,-79.45257922,43.6400576,76.9861
0011951U519,-79.90983233,44.7408852,245.2197
0011931U505S,-79.45980674,44.0550564,247.5033
0011931U500S,-79.45564171,44.15505611,235.5108
0011931U497S,-79.47064308,44.24588939,241.4332
0011931U486S,-79.4098022,43.75505718,174.9246
0011931U484S,-79.4248033,43.81588981,175.4448
0011931U483S,-79.42758199,43.82588967,190.1333
0011931U482S,-79.43758447,43.8728347,243.5175
0011931U480S,-79.44258489,43.90005721,254.3619
0011931U478S,-79.4548083,43.9478356,301.758
0011931U476S,-79.46564233,43.99505738,264.4405
0011931U475S,-79.46564217,43.99783511,263.8229
0011931U474S,-79.47758626,44.01089032,261.7335
0011931U471S,-79.49258585,44.09505602,224.4558
0011931U463S,-79.60259292,44.25505434,294.0415
0011931U461S,-79.61981627,44.32588756,270.2414
0011931U460S,-79.62759469,44.34783186,263.1141
0011931U459S,-79.65481801,44.36588725,241.8419
0011931U458S,-79.68981954,44.37505366,223.8735
0011931U455S,-79.69676443,44.38894247,228.7352
0011931U452S,-79.67565261,44.39088703,222.7225
0011931U448S,-79.58259462,44.45783237,284.6898
0011931U447S,-79.56481611,44.46505463,290.2379
0011931U446S,-79.51870353,44.48394349,281.0986
0011931U442S,-79.42758959,44.58005459,238.9544
0011931U2000,-79.66980719,43.44505611,86.8857
0011931U1999,-79.66980726,43.44783392,89.9749
0011931U004,-79.42258049,43.81089004,174.5477
0011930U424S,-79.27980307,44.31589104,223.7334
0011930U421S,-79.20757761,44.31505744,229.6347
0011930U420S,-79.19757719,44.31505745,225.7415
0011930U406S,-79.06562516,44.26089195,274.6765
0011930U403S,-79.12757649,44.50505755,231.669
0011930U402S,-79.15257754,44.49783533,224.6678
0011930U401S,-79.14979951,44.48283544,222.3942
0011930U396S,-79.1497986,44.42783585,246.8316
0011930U390S,-79.07062762,44.34505813,263.367
0011930U296S,-79.03479768,44.72283563,258.4618
0011930U295S,-79.10563355,44.72505773,235.0622
0011930U293S,-79.16480259,44.69505757,252.2595
0011930U292S,-79.19980413,44.67783525,250.7725
